ID,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID,Comentarios
71,25-03-2024,Preventivo,Malo,Malo,59163,Comentario sobre el mantenimiento 71
72,28-10-2023,Emergencia,Regular,Bueno,59925,Comentario sobre el mantenimiento 72
73,24-03-2024,Correctivo,Regular,Bueno,33727,Comentario sobre el mantenimiento 73
74,07-02-2024,Correctivo,Malo,Malo,9397139,Comentario sobre el mantenimiento 74
75,18-05-2024,Correctivo,Malo,Regular,25630,Comentario sobre el mantenimiento 75
76,25-06-2024,Emergencia,Regular,Regular,52881,Comentario sobre el mantenimiento 76
77,31-05-2024,Emergencia,Regular,Bueno,32918,Comentario sobre el mantenimiento 77
78,19-03-2024,Preventivo,Bueno,Bueno,25696,Comentario sobre el mantenimiento 78
79,25-04-2024,Correctivo,Bueno,Malo,32726,Comentario sobre el mantenimiento 79
80,22-05-2024,Correctivo,Regular,Malo,9492978,Comentario sobre el mantenimiento 80
81,28-10-2023,Preventivo,Malo,Malo,58942,Comentario sobre el mantenimiento 81
82,04-10-2024,Emergencia,Regular,Regular,58669,Comentario sobre el mantenimiento 82
83,13-09-2024,Emergencia,Bueno,Regular,3568984,Comentario sobre el mantenimiento 83
84,23-01-2024,Correctivo,Bueno,Regular,8820187,Comentario sobre el mantenimiento 84
85,11-08-2023,Preventivo,Regular,Bueno,58807,Comentario sobre el mantenimiento 85
86,11-10-2024,Preventivo,Malo,Malo,58331,Comentario sobre el mantenimiento 86
87,25-09-2024,Preventivo,Regular,Bueno,20243,Comentario sobre el mantenimiento 87
88,14-06-2024,Preventivo,Malo,Regular,9177751,Comentario sobre el mantenimiento 88
89,19-01-2024,Emergencia,Regular,Bueno,4992011,Comentario sobre el mantenimiento 89
90,13-12-2023,Correctivo,Bueno,Regular,4988363,Comentario sobre el mantenimiento 90
91,21-10-2023,Emergencia,Bueno,Malo,33142,Comentario sobre el mantenimiento 91
92,02-04-2024,Correctivo,Malo,Bueno,60137,Comentario sobre el mantenimiento 92
93,21-06-2024,Emergencia,Regular,Bueno,5025124,Comentario sobre el mantenimiento 93
94,19-01-2024,Emergencia,Regular,Malo,59883,Comentario sobre el mantenimiento 94
95,16-02-2024,Emergencia,Malo,Bueno,34743,Comentario sobre el mantenimiento 95
96,28-10-2023,Preventivo,Regular,Malo,7895400,Comentario sobre el mantenimiento 96
97,10-07-2024,Emergencia,Malo,Bueno,8817614,Comentario sobre el mantenimiento 97
98,10-05-2024,Emergencia,Regular,Malo,7672874,Comentario sobre el mantenimiento 98
99,04-03-2024,Correctivo,Regular,Regular,7588210,Comentario sobre el mantenimiento 99
100,26-01-2024,Correctivo,Bueno,Regular,60020,Comentario sobre el mantenimiento 100
101,23-06-2024,Emergencia,Regular,Bueno,5174671,Comentario sobre el mantenimiento 101
102,03-08-2024,Emergencia,Regular,Regular,58499,Comentario sobre el mantenimiento 102
103,27-09-2024,Preventivo,Malo,Malo,35152,Comentario sobre el mantenimiento 103
104,17-06-2024,Correctivo,Malo,Regular,59016,Comentario sobre el mantenimiento 104
105,07-04-2024,Emergencia,Regular,Malo,3568696,Comentario sobre el mantenimiento 105
106,23-12-2023,Correctivo,Regular,Malo,21125,Comentario sobre el mantenimiento 106
107,06-03-2024,Correctivo,Regular,Bueno,5241059,Comentario sobre el mantenimiento 107
108,07-08-2024,Emergencia,Regular,Regular,8941054,Comentario sobre el mantenimiento 108
109,12-12-2023,Preventivo,Bueno,Bueno,5658100,Comentario sobre el mantenimiento 109
110,25-01-2024,Emergencia,Malo,Bueno,5657902,Comentario sobre el mantenimiento 110
111,30-05-2024,Correctivo,Regular,Regular,25074,Comentario sobre el mantenimiento 111
112,07-07-2024,Correctivo,Malo,Bueno,59359,Comentario sobre el mantenimiento 112
113,03-02-2024,Emergencia,Malo,Bueno,20749,Comentario sobre el mantenimiento 113
114,11-02-2024,Preventivo,Malo,Bueno,6878958,Comentario sobre el mantenimiento 114
115,10-09-2024,Correctivo,Malo,Regular,58490,Comentario sobre el mantenimiento 115
116,04-04-2024,Emergencia,Malo,Bueno,7934559,Comentario sobre el mantenimiento 116
117,16-12-2023,Emergencia,Bueno,Bueno,6761239,Comentario sobre el mantenimiento 117
118,18-07-2024,Preventivo,Malo,Regular,6778176,Comentario sobre el mantenimiento 118
119,11-09-2023,Preventivo,Regular,Malo,9048980,Comentario sobre el mantenimiento 119
120,10-10-2024,Emergencia,Regular,Regular,6878761,Comentario sobre el mantenimiento 120
121,21-01-2024,Preventivo,Malo,Regular,19718,Comentario sobre el mantenimiento 121
122,31-03-2024,Preventivo,Malo,Bueno,4988105,Comentario sobre el mantenimiento 122
123,30-01-2024,Correctivo,Regular,Malo,21087,Comentario sobre el mantenimiento 123
124,18-10-2023,Correctivo,Regular,Malo,21536,Comentario sobre el mantenimiento 124
125,24-09-2024,Emergencia,Regular,Regular,20046,Comentario sobre el mantenimiento 125
126,15-11-2023,Correctivo,Bueno,Regular,21007,Comentario sobre el mantenimiento 126
127,06-12-2023,Correctivo,Malo,Regular,19426,Comentario sobre el mantenimiento 127
128,11-02-2024,Preventivo,Bueno,Malo,20187,Comentario sobre el mantenimiento 128
129,06-09-2024,Preventivo,Malo,Bueno,7927325,Comentario sobre el mantenimiento 129
130,18-07-2024,Preventivo,Malo,Malo,22445,Comentario sobre el mantenimiento 130
131,28-08-2024,Emergencia,Regular,Regular,33208,Comentario sobre el mantenimiento 131
132,10-09-2024,Preventivo,Regular,Regular,5249944,Comentario sobre el mantenimiento 132
133,22-07-2024,Correctivo,Bueno,Regular,20585,Comentario sobre el mantenimiento 133
134,15-05-2024,Emergencia,Regular,Bueno,8971301,Comentario sobre el mantenimiento 134
135,17-12-2023,Preventivo,Bueno,Bueno,9177931,Comentario sobre el mantenimiento 135
136,14-04-2024,Correctivo,Regular,Malo,5240867,Comentario sobre el mantenimiento 136
137,01-01-2024,Preventivo,Regular,Bueno,58294,Comentario sobre el mantenimiento 137
138,08-01-2024,Preventivo,Malo,Bueno,60060,Comentario sobre el mantenimiento 138
139,14-06-2024,Preventivo,Malo,Regular,7792012,
140,30-01-2024,Preventivo,Regular,Bueno,33703,Comentario sobre el mantenimiento 140
141,16-11-2023,Correctivo,Bueno,Bueno,7802478,Comentario sobre el mantenimiento 141
142,11-02-2023,Preventivo,Regular,Bueno,24922,Comentario sobre el mantenimiento 142
143,18-03-2024,Correctivo,Bueno,Malo,33593,Comentario sobre el mantenimiento 143
144,29-01-2024,Emergencia,Malo,Regular,8987321,Comentario sobre el mantenimiento 144
145,25-09-2024,Emergencia,Bueno,Bueno,9493030,Comentario sobre el mantenimiento 145
146,23-02-2024,Preventivo,Malo,Regular,7240162,Comentario sobre el mantenimiento 146
147,22-07-2024,Preventivo,Malo,Bueno,21861,Comentario sobre el mantenimiento 147
148,15-02-2024,Emergencia,Regular,Regular,4737960,Comentario sobre el mantenimiento 148
149,12-08-2024,Preventivo,Regular,Regular,5231453,Comentario sobre el mantenimiento 149
150,09-08-2024,Preventivo,Regular,Regular,24872,Comentario sobre el mantenimiento 150
151,19-01-2024,Emergencia,Bueno,Bueno,33550,Comentario sobre el mantenimiento 151
152,10-06-2024,Preventivo,Bueno,Bueno,58615,Comentario sobre el mantenimiento 152
153,28-11-2023,Emergencia,Malo,Malo,24746,Comentario sobre el mantenimiento 153
154,24-02-2024,Preventivo,Regular,Regular,9295465,Comentario sobre el mantenimiento 154
155,28-01-2024,Correctivo,Malo,Bueno,9184890,Comentario sobre el mantenimiento 155
156,11-08-2023,Preventivo,Malo,Regular,4960333,Comentario sobre el mantenimiento 156
157,05-08-2024,Emergencia,Bueno,Malo,4730882,Comentario sobre el mantenimiento 157
158,02-07-2024,Correctivo,Regular,Bueno,58788,Comentario sobre el mantenimiento 158
159,02-06-2024,Correctivo,Malo,Regular,18846,Comentario sobre el mantenimiento 159
160,21-01-2024,Preventivo,Regular,Bueno,33976,Comentario sobre el mantenimiento 160
161,28-03-2024,Preventivo,Malo,Malo,19533,Comentario sobre el mantenimiento 161
162,22-06-2024,Emergencia,Regular,Malo,4987839,Comentario sobre el mantenimiento 162
163,06-11-2023,Correctivo,Bueno,Malo,4987794,Comentario sobre el mantenimiento 163
164,05-01-2024,Correctivo,Bueno,Malo,24788,Comentario sobre el mantenimiento 164
165,03-08-2024,Emergencia,Malo,Malo,3568750,Comentario sobre el mantenimiento 165
166,09-01-2024,Correctivo,Regular,Bueno,5658962,Comentario sobre el mantenimiento 166
167,07-06-2024,Correctivo,Bueno,Bueno,3994638,Comentario sobre el mantenimiento 167
168,01-12-2023,Correctivo,Regular,Bueno,19215,Comentario sobre el mantenimiento 168
169,16-04-2024,Correctivo,Bueno,Regular,33282,Comentario sobre el mantenimiento 169
170,29-01-2024,Correctivo,Bueno,Regular,59776,Comentario sobre el mantenimiento 170
171,03-05-2024,Preventivo,Bueno,Bueno,5599622,Comentario sobre el mantenimiento 171
172,16-08-2024,Preventivo,Malo,Regular,9470338,Comentario sobre el mantenimiento 172
173,13-11-2023,Emergencia,Regular,Malo,7889390,Comentario sobre el mantenimiento 173
174,16-09-2024,Emergencia,Malo,Bueno,21844,Comentario sobre el mantenimiento 174
175,23-08-2024,Correctivo,Regular,Malo,5658594,Comentario sobre el mantenimiento 175
176,23-09-2024,Correctivo,Regular,Regular,20168,Comentario sobre el mantenimiento 176
177,05-09-2024,Emergencia,Malo,Malo,4737934,Comentario sobre el mantenimiento 177
178,05-10-2024,Preventivo,Malo,Malo,25837,Comentario sobre el mantenimiento 178
179,27-08-2024,Preventivo,Regular,Malo,7794412,Comentario sobre el mantenimiento 179
180,30-03-2024,Correctivo,Bueno,Bueno,5173936,Comentario sobre el mantenimiento 180
181,05-12-2023,Emergencia,Bueno,Regular,8804525,Comentario sobre el mantenimiento 181
182,16-09-2024,Correctivo,Malo,Regular,35183,Comentario sobre el mantenimiento 182
183,18-10-2023,Preventivo,Regular,Bueno,21845,Comentario sobre el mantenimiento 183
184,25-07-2024,Preventivo,Regular,Regular,58391,Comentario sobre el mantenimiento 184
185,07-03-2024,Emergencia,Regular,Bueno,4737877,Comentario sobre el mantenimiento 185
186,13-11-2023,Preventivo,Regular,Regular,7928440,Comentario sobre el mantenimiento 186
187,04-02-2024,Preventivo,Regular,Regular,9284743,Comentario sobre el mantenimiento 187
188,03-01-2024,Preventivo,Regular,Regular,7526687,Comentario sobre el mantenimiento 188
189,19-11-2023,Emergencia,Regular,Bueno,4750008,Comentario sobre el mantenimiento 189
190,29-08-2024,Correctivo,Regular,Regular,53208,Comentario sobre el mantenimiento 190
191,31-12-2023,Emergencia,Regular,Bueno,3576050,Comentario sobre el mantenimiento 191
192,04-05-2024,Emergencia,Malo,Malo,3575561,Comentario sobre el mantenimiento 192
193,04-05-2024,Preventivo,Malo,Malo,22438,Comentario sobre el mantenimiento 193
194,22-01-2024,Emergencia,Regular,Malo,4795148,Comentario sobre el mantenimiento 194
195,05-09-2024,Preventivo,Regular,Bueno,19838,Comentario sobre el mantenimiento 195
196,03-05-2024,Emergencia,Bueno,Malo,5602454,Comentario sobre el mantenimiento 196
197,20-11-2023,Correctivo,Bueno,Regular,33170,Comentario sobre el mantenimiento 197
198,01-08-2024,Correctivo,Bueno,Regular,5245394,Comentario sobre el mantenimiento 198
199,04-10-2024,Preventivo,Regular,Bueno,5220803,Comentario sobre el mantenimiento 199
200,10-11-2024,Emergencia,Malo,Bueno,19792,Comentario sobre el mantenimiento 200
201,01-05-2024,Preventivo,Regular,Bueno,58062,Comentario sobre el mantenimiento 201
202,29-04-2024,Preventivo,Regular,Malo,7794492,Comentario sobre el mantenimiento 202
203,30-12-2023,Preventivo,Regular,Regular,8978410,Comentario sobre el mantenimiento 203
204,25-06-2024,Preventivo,Regular,Bueno,59356,Comentario sobre el mantenimiento 204
205,18-08-2024,Preventivo,Regular,Malo,3530725,Comentario sobre el mantenimiento 205
206,14-07-2024,Preventivo,Bueno,Regular,5237088,Comentario sobre el mantenimiento 206
207,03-08-2024,Emergencia,Regular,Malo,20095,Comentario sobre el mantenimiento 207
208,20-03-2024,Preventivo,Regular,Bueno,7896549,Comentario sobre el mantenimiento 208
209,05-08-2024,Emergencia,Bueno,Malo,9291545,Comentario sobre el mantenimiento 209
210,17-10-2023,Preventivo,Malo,Bueno,22165,Comentario sobre el mantenimiento 210
211,21-10-2023,Correctivo,Bueno,Regular,3577005,Comentario sobre el mantenimiento 211
212,18-06-2024,Emergencia,Bueno,Malo,35117,Comentario sobre el mantenimiento 212
213,27-12-2023,Preventivo,Malo,Malo,4984514,Comentario sobre el mantenimiento 213
214,21-02-2024,Emergencia,Bueno,Regular,19933,Comentario sobre el mantenimiento 214
215,14-11-2023,Correctivo,Malo,Malo,7168585,Comentario sobre el mantenimiento 215
216,28-09-2024,Preventivo,Bueno,Regular,21289,Comentario sobre el mantenimiento 216
217,20-02-2024,Preventivo,Malo,Regular,6777775,Comentario sobre el mantenimiento 217
218,04-02-2024,Preventivo,Malo,Malo,4731212,Comentario sobre el mantenimiento 218
219,18-11-2023,Preventivo,Bueno,Regular,7125615,Comentario sobre el mantenimiento 219
220,01-08-2024,Correctivo,Bueno,Bueno,7126931,Comentario sobre el mantenimiento 220
221,17-06-2024,Correctivo,Regular,Bueno,33821,Comentario sobre el mantenimiento 221
222,18-10-2023,Preventivo,Regular,Regular,9424313,Comentario sobre el mantenimiento 222
223,19-07-2024,Emergencia,Bueno,Regular,5238914,Comentario sobre el mantenimiento 223
224,10-07-2024,Emergencia,Regular,Bueno,21070,Comentario sobre el mantenimiento 224
225,09-06-2024,Preventivo,Malo,Bueno,58422,Comentario sobre el mantenimiento 225
226,10-01-2024,Preventivo,Bueno,Regular,20999,Comentario sobre el mantenimiento 226
227,13-08-2024,Emergencia,Bueno,Bueno,59451,Comentario sobre el mantenimiento 227
228,31-03-2024,Preventivo,Regular,Bueno,7903920,Comentario sobre el mantenimiento 228
229,28-03-2024,Correctivo,Bueno,Bueno,9129847,Comentario sobre el mantenimiento 229
230,20-08-2024,Emergencia,Malo,Bueno,3963368,Comentario sobre el mantenimiento 230
231,18-12-2023,Correctivo,Regular,Bueno,4963385,Comentario sobre el mantenimiento 231
232,06-02-2024,Correctivo,Regular,Regular,19304,Comentario sobre el mantenimiento 232
233,14-05-2024,Emergencia,Bueno,Regular,3569328,Comentario sobre el mantenimiento 233
234,20-09-2024,Emergencia,Malo,Regular,58975,Comentario sobre el mantenimiento 234
235,15-10-2023,Preventivo,Malo,Regular,58315,Comentario sobre el mantenimiento 235
236,08-07-2024,Preventivo,Regular,Bueno,33091,Comentario sobre el mantenimiento 236
237,06-06-2024,Correctivo,Malo,Regular,22475,Comentario sobre el mantenimiento 237
238,22-04-2024,Emergencia,Bueno,Regular,57987,Comentario sobre el mantenimiento 238
239,27-08-2024,Emergencia,Malo,Regular,3567922,Comentario sobre el mantenimiento 239
240,26-11-2023,Emergencia,Regular,Malo,3743757,Comentario sobre el mantenimiento 240
241,27-03-2024,Correctivo,Bueno,Malo,3531311,Comentario sobre el mantenimiento 241
242,03-02-2024,Correctivo,Bueno,Malo,7927335,Comentario sobre el mantenimiento 242
243,14-02-2024,Correctivo,Bueno,Malo,9435347,Comentario sobre el mantenimiento 243
244,28-01-2024,Preventivo,Regular,Regular,33919,Comentario sobre el mantenimiento 244
245,12-02-2024,Emergencia,Bueno,Bueno,24947,Comentario sobre el mantenimiento 245
246,23-03-2024,Correctivo,Malo,Malo,5492837,Comentario sobre el mantenimiento 246
247,16-08-2024,Correctivo,Malo,Regular,32734,Comentario sobre el mantenimiento 247
248,18-01-2024,Correctivo,Malo,Bueno,5128756,Comentario sobre el mantenimiento 248
249,28-08-2024,Preventivo,Bueno,Regular,9294740,Comentario sobre el mantenimiento 249
250,04-04-2024,Emergencia,Regular,Regular,33316,Comentario sobre el mantenimiento 250
251,18-04-2024,Emergencia,Malo,Regular,8891693,Comentario sobre el mantenimiento 251
252,25-10-2023,Preventivo,Bueno,Bueno,9191209,Comentario sobre el mantenimiento 252
253,19-09-2024,Preventivo,Regular,Bueno,9049856,Comentario sobre el mantenimiento 253
254,10-11-2023,Correctivo,Malo,Regular,33764,Comentario sobre el mantenimiento 254
255,14-07-2024,Preventivo,Regular,Regular,3568326,Comentario sobre el mantenimiento 255
256,01-01-2024,Correctivo,Malo,Bueno,5659370,Comentario sobre el mantenimiento 256
257,11-02-2024,Correctivo,Regular,Bueno,5195545,Comentario sobre el mantenimiento 257
258,11-09-2024,Correctivo,Regular,Malo,33658,Comentario sobre el mantenimiento 258
259,23-07-2024,Emergencia,Bueno,Regular,4793075,Comentario sobre el mantenimiento 259
260,30-03-2024,Emergencia,Bueno,Malo,19355,Comentario sobre el mantenimiento 260
261,30-01-2024,Correctivo,Regular,Malo,9176693,Comentario sobre el mantenimiento 261
262,04-05-2024,Correctivo,Bueno,Bueno,7850128,Comentario sobre el mantenimiento 262
263,15-05-2024,Emergencia,Regular,Regular,7603085,Comentario sobre el mantenimiento 263
264,20-08-2024,Emergencia,Malo,Bueno,32492,Comentario sobre el mantenimiento 264
265,16-04-2024,Correctivo,Regular,Bueno,7761352,Comentario sobre el mantenimiento 265
266,21-01-2024,Preventivo,Regular,Bueno,5659593,Comentario sobre el mantenimiento 266
267,29-05-2024,Preventivo,Bueno,Regular,9288611,Comentario sobre el mantenimiento 267
268,13-12-2023,Emergencia,Bueno,Regular,21559,Comentario sobre el mantenimiento 268
269,14-11-2023,Preventivo,Regular,Regular,5492492,Comentario sobre el mantenimiento 269
270,26-09-2024,Emergencia,Malo,Bueno,25064,Comentario sobre el mantenimiento 270
271,26-05-2024,Preventivo,Regular,Regular,8803494,Comentario sobre el mantenimiento 271
272,28-01-2024,Correctivo,Bueno,Regular,3532743,Comentario sobre el mantenimiento 272
273,15-01-2024,Preventivo,Bueno,Bueno,8803674,Comentario sobre el mantenimiento 273
274,31-07-2024,Emergencia,Regular,Bueno,58501,Comentario sobre el mantenimiento 274
275,30-09-2024,Preventivo,Regular,Regular,5173654,Comentario sobre el mantenimiento 275
276,14-11-2023,Emergencia,Regular,Bueno,20157,Comentario sobre el mantenimiento 276
277,23-04-2024,Correctivo,Regular,Regular,7928585,Comentario sobre el mantenimiento 277
278,09-02-2024,Preventivo,Bueno,Regular,7144279,Comentario sobre el mantenimiento 278
279,12-01-2024,Emergencia,Malo,Bueno,6777775,Comentario sobre el mantenimiento 279
280,03-07-2024,Emergencia,Bueno,Malo,7126504,Comentario sobre el mantenimiento 280
281,27-01-2024,Emergencia,Bueno,Bueno,3569341,Comentario sobre el mantenimiento 281
282,30-11-2023,Preventivo,Regular,Bueno,32883,Comentario sobre el mantenimiento 282
283,22-11-2023,Correctivo,Bueno,Bueno,21930,Comentario sobre el mantenimiento 283
284,18-01-2024,Preventivo,Malo,Malo,33284,Comentario sobre el mantenimiento 284
285,06-08-2024,Correctivo,Malo,Bueno,22402,Comentario sobre el mantenimiento 285
286,11-01-2024,Emergencia,Regular,Bueno,3569233,Comentario sobre el mantenimiento 286
287,04-07-2024,Emergencia,Malo,Bueno,9051957,Comentario sobre el mantenimiento 287
288,01-10-2024,Emergencia,Regular,Bueno,3565660,Comentario sobre el mantenimiento 288
289,13-09-2024,Correctivo,Regular,Malo,7897954,Comentario sobre el mantenimiento 289
290,23-10-2023,Preventivo,Bueno,Bueno,8909769,Comentario sobre el mantenimiento 290
291,06-03-2024,Correctivo,Bueno,Bueno,24797,Comentario sobre el mantenimiento 291
292,09-04-2024,Correctivo,Malo,Malo,34782,Comentario sobre el mantenimiento 292
293,12-05-2024,Emergencia,Regular,Regular,3576564,Comentario sobre el mantenimiento 293
294,25-06-2024,Emergencia,Regular,Regular,33733,Comentario sobre el mantenimiento 294
295,28-09-2024,Correctivo,Malo,Malo,4737935,Comentario sobre el mantenimiento 295
296,18-07-2024,Preventivo,Malo,Regular,3581515,Comentario sobre el mantenimiento 296
297,01-04-2024,Preventivo,Regular,Regular,34132,Comentario sobre el mantenimiento 297
298,29-08-2024,Correctivo,Bueno,Malo,20281,Comentario sobre el mantenimiento 298
299,02-11-2023,Correctivo,Regular,Regular,8803428,Comentario sobre el mantenimiento 299
300,06-12-2023,Correctivo,Regular,Malo,59712,Comentario sobre el mantenimiento 300
301,23-07-2024,Emergencia,Bueno,Malo,7861628,Comentario sobre el mantenimiento 301
302,09-12-2024,Correctivo,Bueno,Regular,9187165,Comentario sobre el mantenimiento 302
303,23-12-2023,Preventivo,Regular,Malo,20517,Comentario sobre el mantenimiento 303
304,24-12-2023,Correctivo,Regular,Bueno,8976376,Comentario sobre el mantenimiento 304
305,22-05-2024,Preventivo,Regular,Malo,21161,Comentario sobre el mantenimiento 305
306,06-06-2024,Emergencia,Malo,Bueno,5220932,Comentario sobre el mantenimiento 306
307,26-07-2024,Emergencia,Malo,Malo,9494949,Comentario sobre el mantenimiento 307
308,22-06-2024,Correctivo,Bueno,Bueno,34959,Comentario sobre el mantenimiento 308
309,14-01-2024,Emergencia,Malo,Regular,25010,Comentario sobre el mantenimiento 309
310,23-07-2024,Preventivo,Malo,Malo,7059090,Comentario sobre el mantenimiento 310
311,09-02-2024,Preventivo,Regular,Bueno,34111,Comentario sobre el mantenimiento 311
312,20-08-2024,Emergencia,Bueno,Regular,19846,Comentario sobre el mantenimiento 312
313,01-08-2024,Preventivo,Malo,Malo,7862155,Comentario sobre el mantenimiento 313
314,04-11-2023,Emergencia,Bueno,Bueno,9398283,Comentario sobre el mantenimiento 314
